time,distance,speed
0,0,0
0.008333,0.14999999,13.331
0.016667,0.26,26.550999
0.025001,0.48,39.650997
0.033334,0.81,52.641
0.041667,1.25,65.520996
0.05,1.8,78.291
0.058333,2.45,90.951
0.066667,3.21,103.501
0.075001,4.0699997,115.940994
0.083334,5.04,128.281
0.091667,6.1099997,140.511
0.1,7.2799997,152.641
0.108334,8.55,164.66101
0.116667,9.92,176.58101
0.125,11.389999,188.401
0.133333,12.96,200.11101
0.141667,14.63,211.72101
0.150001,16.39,223.231
0.158334,18.25,234.651
0.166667,20.21,245.97101
0.175,22.26,257.191
0.183333,24.4,268.321
0.191667,26.64,279.351
0.200001,28.97,290.29102
0.208334,31.39,301.131
0.216667,33.899998,311.881
0.225,36.5,322.541
0.233334,39.19,333.101
0.241667,41.969997,343.571
0.25,44.829998,353.951
0.258333,47.78,364.251
0.266667,50.82,374.461
0.275001,53.94,384.581
0.283334,57.14,394.611
0.291667,60.43,404.561
0.3,63.8,414.421
0.308333,67.25,424.201
0.316667,70.79,433.891
0.325001,74.409996,443.501
0.333334,78.11,453.031
0.341667,81.89,462.481
0.35,85.74,471.85098
0.358334,89.67,481.141
0.366667,93.68,490.35098
0.375,97.77,499.481
0.383333,101.93,508.531
0.391667,106.17,517.501
0.400001,110.479996,526.391
0.408334,114.869995,535.21094
0.416667,119.329994,543.951
0.425,123.86,552.621
0.433333,128.47,561.21094
0.441667,133.15,569.73096
0.450001,137.9,578.18097
0.458334,142.72,586.55096
0.466667,147.61,594.85095
0.475,152.56999,603.08093
0.483334,157.59999,611.24097
0.491667,162.69,619.33093
0.5,167.84999,627.35095
0.508333,173.08,635.30096
0.516667,178.37,643.18097
0.525001,183.73,651.001
0.533334,189.15999,658.751
0.541667,194.65,666.43097
0.55,200.2,674.05096
0.558333,205.81999,681.60095
0.566667,211.5,689.09094
0.575001,217.23999,696.511
0.583334,223.04,703.871
0.591667,228.90999,711.17096
0.6,234.84,718.40094
0.608334,240.83,725.571
0.616667,246.87999,732.68097
0.625,252.98999,739.73096
0.633333,259.15,746.72095
0.641667,265.37,753.65094
0.650001,271.65,760.52094
0.658334,277.99,767.33093
0.666667,284.38,774.08093
0.675,290.83,780.77094
0.683333,297.34,787.41095
0.691667,303.9,793.99097
0.700001,310.52,800.511
0.708334,317.19,806.98096
0.716667,323.91,813.3909
0.725,330.69,819.751
0.733334,337.52,826.05096
0.741667,344.4,832.30096
0.75,351.34,838.501
0.758333,358.33,844.6409
0.766667,365.37,850.73096
0.775001,372.46,856.77094
0.783334,379.6,862.761
0.791667,386.78998,868.691
0.8,394.03,874.571
0.808333,401.31998,880.40094
0.816667,408.66,886.18097
0.825001,416.03998,891.91095
0.833334,423.47,897.59094
0.841667,430.94998,903.23096
0.85,438.47998,908.821
0.858334,446.05,914.36096
0.866667,453.66998,919.85095
0.875,461.34,925.30096
0.883333,469.05,930.7009
0.891667,476.81,936.05096
0.900001,484.61,941.36096
0.908334,492.44998,946.621
0.916667,500.34,951.84094
0.925,508.27,957.0109
0.933333,516.25,962.1409
0.941667,524.26996,967.22095
0.950001,532.33,972.2609
0.958334,540.43,977.2609
0.966667,548.57,982.21094
0.975,556.76,987.121
0.983334,564.99,991.99097
0.991667,573.26,996.821
1,581.57,1001.61096
1.008333,589.92,1006.35095
1.016667,598.31,1011.05096
1.025001,606.74,1015.71094
1.033334,615.2,1020.33093
1.041667,623.7,1024.911
1.05,632.24,1029.4509
